date,hour,temperature_c
2025-12-11,0,15.4
2025-12-11,1,14.766666666666666
2025-12-11,2,14.299999999999999
2025-12-11,3,13.933333333333332
2025-12-11,4,13.6
2025-12-11,5,13.299999999999999
2025-12-11,6,13.0
2025-12-11,7,13.933333333333332
2025-12-11,8,17.933333333333334
2025-12-11,9,21.96666666666667
2025-12-11,10,24.566666666666666
2025-12-11,11,26.333333333333332
2025-12-11,12,27.366666666666664
2025-12-11,13,27.900000000000002
2025-12-11,14,28.066666666666666
2025-12-11,15,27.666666666666668
2025-12-11,16,26.666666666666668
2025-12-11,17,23.666666666666668
2025-12-11,18,20.566666666666666
2025-12-11,19,19.0
2025-12-11,20,17.7
2025-12-11,21,16.8
2025-12-11,22,15.866666666666667
2025-12-11,23,14.899999999999999
